z,zinv,p_U1,p_U2,p_S11_bot,p_S11_top,p_S22_bot,p_S22_top,N_U1,N_U2,N_S11_bot,N_S11_top,N_S22_bot,N_S22_top,
7.93804,3.24226,-0.000131401,4.92E-05,-1.22828,1.22828,-5.62321,-4.88624,7.88E-06,-3.91E-05,-0.926303,-1.0737,0.0373923,-0.0068256,
7.82624,3.35406,-0.000132146,4.83E-05,-1.13114,1.13114,-5.624,-4.94532,7.93E-06,-3.85E-05,-0.932131,-1.06787,0.0374402,-0.0032807,
7.71443,3.46587,-0.000132774,4.74E-05,-1.03825,1.03825,-5.62137,-4.99842,7.97E-06,-3.79E-05,-0.937704,-1.06229,0.0372821,-9.49E-05,
7.60263,3.57767,-0.000133296,4.65E-05,-0.949997,0.949997,-5.61588,-5.04588,8.00E-06,-3.74E-05,-0.942999,-1.057,0.0369525,0.00275267,
7.49083,3.68947,-0.000133722,4.56E-05,-0.866692,0.866692,-5.60805,-5.08804,8.02E-06,-3.68E-05,-0.947998,-1.052,0.0364832,0.00528236,
7.37902,3.80128,-0.000134064,4.47E-05,-0.788594,0.788594,-5.59839,-5.12523,8.04E-06,-3.63E-05,-0.952684,-1.04731,0.0359032,0.00751384,
7.26722,3.91308,-0.00013433,4.38E-05,-0.715913,0.715913,-5.58731,-5.15777,8.06E-06,-3.57E-05,-0.957044,-1.04295,0.0352388,0.00946598,
7.15542,4.02488,-0.000134529,4.29E-05,-0.648809,0.648809,-5.57523,-5.18595,8.07E-06,-3.51E-05,-0.961071,-1.03893,0.0345138,0.0111567,
7.04361,4.13669,-0.00013467,4.20E-05,-0.587406,0.587406,-5.56249,-5.21005,8.08E-06,-3.46E-05,-0.964755,-1.03524,0.0337495,0.0126029,
6.93181,4.24849,-0.000134758,4.11E-05,-0.531789,0.531789,-5.54941,-5.23034,8.09E-06,-3.40E-05,-0.968092,-1.03191,0.0329646,0.0138203,
6.82001,4.36029,-0.000134801,4.02E-05,-0.482013,0.482013,-5.53626,-5.24706,8.09E-06,-3.34E-05,-0.971078,-1.02892,0.0321758,0.0148234,
6.7082,4.4721,-0.000134805,3.93E-05,-0.438106,0.438106,-5.52329,-5.26042,8.09E-06,-3.29E-05,-0.973713,-1.02629,0.0313973,0.0156255,
6.5964,4.5839,-0.000134774,3.84E-05,-0.400071,0.400071,-5.51068,-5.27064,8.09E-06,-3.23E-05,-0.975995,-1.024,0.0306411,0.0162385,
6.4846,4.6957,-0.000134713,3.75E-05,-0.367892,0.367892,-5.49862,-5.27789,8.08E-06,-3.18E-05,-0.977926,-1.02207,0.0299172,0.0166731,
6.37279,4.80751,-0.000134625,3.66E-05,-0.341533,0.341533,-5.48723,-5.28231,8.08E-06,-3.12E-05,-0.979507,-1.02049,0.0292336,0.0169384,
6.26099,4.91931,-0.000134513,3.57E-05,-0.320942,0.320942,-5.4766,-5.28404,8.07E-06,-3.06E-05,-0.980743,-1.01926,0.0285961,0.0170422,
6.14919,5.03111,-0.00013438,3.48E-05,-0.306052,0.306052,-5.46681,-5.28318,8.06E-06,-3.01E-05,-0.981636,-1.01836,0.0280089,0.016991,
6.03738,5.14292,-0.000134226,3.39E-05,-0.296784,0.296784,-5.4579,-5.27983,8.05E-06,-2.95E-05,-0.982192,-1.01781,0.027474,0.0167898,
5.92558,5.25472,-0.000134054,3.30E-05,-0.293046,0.293046,-5.44986,-5.27403,8.04E-06,-2.89E-05,-0.982416,-1.01758,0.0269917,0.0164421,
5.81378,5.36652,-0.000133861,3.21E-05,-0.294735,0.294735,-5.44268,-5.26584,8.03E-06,-2.84E-05,-0.982315,-1.01768,0.0265607,0.0159502,
5.70197,5.47833,-0.00013365,3.12E-05,-0.301734,0.301734,-5.43629,-5.25525,8.02E-06,-2.78E-05,-0.981895,-1.0181,0.0261775,0.0153151,
5.59017,5.59013,-0.000133417,3.03E-05,-0.313917,0.313917,-5.43062,-5.24227,8.01E-06,-2.73E-05,-0.981164,-1.01883,0.0258372,0.0145362,
5.47837,5.70193,-0.000133162,2.94E-05,-0.331143,0.331143,-5.42555,-5.22687,7.99E-06,-2.67E-05,-0.980131,-1.01987,0.0255332,0.0136121,
5.36656,5.81374,-0.000132881,2.85E-05,-0.353258,0.353258,-5.42095,-5.20899,7.97E-06,-2.61E-05,-0.978804,-1.02119,0.0252569,0.0125396,
5.25476,5.92554,-0.000132573,2.76E-05,-0.380094,0.380094,-5.41664,-5.18858,7.95E-06,-2.56E-05,-0.977193,-1.0228,0.0249983,0.011315,
5.14296,6.03734,-0.000132234,2.67E-05,-0.411465,0.411465,-5.41243,-5.16555,7.93E-06,-2.50E-05,-0.975311,-1.02469,0.0247456,0.00993289,
5.03115,6.14915,-0.000131858,2.59E-05,-0.447164,0.447164,-5.40809,-5.13979,7.91E-06,-2.44E-05,-0.973169,-1.02683,0.0244852,0.00838727,
4.91935,6.26095,-0.000131443,2.50E-05,-0.486967,0.486967,-5.40336,-5.11118,7.89E-06,-2.39E-05,-0.970781,-1.02922,0.0242018,0.00667105,
4.80755,6.37275,-0.000130983,2.41E-05,-0.530622,0.530622,-5.39798,-5.07961,7.86E-06,-2.33E-05,-0.968162,-1.03184,0.0238787,0.00477632,
